#interet	paiement	taux
1000	800	0.04
997.3333	802.6667	0.04
994.6578	805.3422	0.04
991.9733	808.0267	0.04
989.2799	810.7201	0.04
986.5775	813.4225	0.04
983.8661	816.1339	0.04
981.1456	818.8544	0.04
978.4161	821.5839	0.04
975.6775	824.3225	0.04
972.9298	827.0702	0.04
970.1729	829.8271	0.04
967.4068	832.5932	0.04
964.6315	835.3685	0.04
961.8469	838.1531	0.04
959.053	840.947	0.04
956.2499	843.7501	0.04
953.4374	846.5626	0.04
950.6155	849.3845	0.04
947.7842	852.2158	0.04
944.9435	855.0565	0.04
942.0933	857.9067	0.04
939.2336	860.7664	0.04
936.3644	863.6356	0.04
933.4856	866.5144	0.04
930.5973	869.4027	0.04
927.6992	872.3008	0.04
924.7916	875.2084	0.04
921.8742	878.1258	0.04
918.9471	881.0529	0.04
916.0103	883.9897	0.04
913.0637	886.9363	0.04
910.1072	889.8928	0.04
907.1409	892.8591	0.04
904.1647	895.8353	0.04
901.1786	898.8214	0.04
898.1825	901.8175	0.04
895.1764	904.8236	0.04
892.1604	907.8396	0.04
889.1342	910.8658	0.04
886.098	913.902	0.04
883.0517	916.9483	0.04
879.9952	920.0048	0.04
876.9285	923.0715	0.04
873.8516	926.1484	0.04
870.7644	929.2356	0.04
867.667	932.333	0.04
864.5592	935.4408	0.04
861.4411	938.5589	0.04
858.3125	941.6875	0.04
855.1736	944.8264	0.04
852.0242	947.9758	0.04
848.8642	951.1358	0.04
845.6938	954.3062	0.04
842.5128	957.4872	0.04
839.3211	960.6789	0.04
836.1189	963.8811	0.04
832.9059	967.0941	0.04
829.6823	970.3177	0.04
826.4479	973.5521	0.04
823.2027	976.7973	0.04
